E_i	M_i	A(t)
-1.36	0.54	0.2275
-1.06	0.5	0.25
-1.06	0.515	0.3025
-1.17	0.525	0.29
-1.46	0.625	0.29
-1.46	0.59	0.1825
-1.43	0.585	0.2175
-1.42	0.54	0.2225
-1.35	0.55	0.265
-1.31	0.555	0.2275
-1.28	0.46	0.2475
-1.33	0.455	0.2275
-1.33	0.485	0.21
-1.27	0.43	0.2325
-1.26	0.42	0.25
-1.28	0.47	0.26
-1.36	0.57	0.265
-1.32	0.535	0.2575
-1.29	0.6	0.2375
-1.15	0.59	0.26
-1.26	0.655	0.2825
-1.32	0.65	0.2425
-1.3	0.675	0.1875
-1.16	0.515	0.265
-1.08	0.51	0.2975
-1.11	0.53	0.29
-1.15	0.615	0.2575
-1.18	0.68	0.3025
-1.24	0.66	0.275
-1.33	0.69	0.29
-1.3	0.675	0.2175
-1.18	0.6	0.2525
-1.22	0.565	0.2825
-1.23	0.58	0.2675
-1.21	0.63	0.25
-1.2	0.595	0.3125
-1.36	0.585	0.275
-1.4	0.665	0.22
-1.35	0.63	0.2225
-1.37	0.66	0.23
-1.3	0.63	0.22
-1.29	0.62	0.275
-1.31	0.585	0.2125
-1.33	0.65	0.2825
-1.24	0.595	0.2575
-1.21	0.595	0.24
-1.33	0.62	0.2625
-1.41	0.715	0.2425
-1.39	0.77	0.2275
-1.44	0.81	0.19
-1.53	0.8	0.165
-1.39	0.77	0.205
-1.41	0.785	0.2125
-1.36	0.76	0.1675
-1.36	0.75	0.18
-1.33	0.68	0.2
-1.44	0.745	0.2025
-1.24	0.685	0.19
-1.23	0.685	0.235
-1.18	0.65	0.2675
-1.28	0.625	0.2575
-1.25	0.595	0.22
-1.1	0.545	0.305
-1.32	0.61	0.2625
-1.24	0.57	0.285
-1.14	0.545	0.2475
-1.12	0.51	0.2875
-1.18	0.54	0.26
-1.22	0.545	0.2825
-1.16	0.62	0.2975
-1.29	0.56	0.29
-1.23	0.535	0.2425
-1.14	0.525	0.285
-1.29	0.52	0.2525
-1.23	0.535	0.2625
-1.39	0.64	0.2625
-1.25	0.63	0.265
-1.34	0.68	0.225
-1.4	0.75	0.22
-1.41	0.73	0.19
-1.37	0.68	0.23
-1.4	0.725	0.2125
-1.5	0.75	0.1725
-1.32	0.7	0.18
-1.4	0.7	0.245
-1.26	0.675	0.1975
-1.38	0.685	0.225
-1.29	0.62	0.2275
-1.29	0.59	0.255
-1.22	0.57	0.285
-1.07	0.56	0.265
-1.1	0.495	0.2925
-1.17	0.485	0.3
-1.06	0.435	0.285
-1.05	0.455	0.33
-1.15	0.43	0.3175
-1.09	0.465	0.3425
-1.16	0.435	0.315
-1.16	0.495	0.27
-1.24	0.485	0.245
-1.2	0.535	0.255
-1.35	0.595	0.25
-1.24	0.54	0.2275
-1.21	0.575	0.2275
-1.3	0.7	0.2575
-1.46	0.785	0.2525
-1.45	0.795	0.17
-1.42	0.775	0.2
-1.45	0.77	0.1975
-1.42	0.735	0.2425
-1.43	0.755	0.185
-1.28	0.695	0.2
-1.35	0.7	0.2225
-1.37	0.69	0.2
-1.32	0.695	0.2025
-1.26	0.675	0.27
-1.41	0.76	0.2175
-1.44	0.795	0.2225
-1.4	0.76	0.1775
-1.42	0.74	0.205
-1.48	0.765	0.2025
-1.43	0.75	0.1925
-1.41	0.77	0.215
-1.48	0.795	0.1725
-1.31	0.705	0.23
-1.32	0.68	0.2525
-1.3	0.63	0.2
-1.35	0.685	0.1975
-1.33	0.74	0.2525
-1.25	0.72	0.23
-1.25	0.745	0.2675
-1.33	0.705	0.235
-1.51	0.785	0.2
-1.37	0.695	0.175
-1.36	0.71	0.2175
-1.42	0.75	0.225
-1.44	0.775	0.2225
-1.43	0.795	0.22
-1.46	0.755	0.19
-1.47	0.765	0.15
-1.39	0.74	0.1825
-1.41	0.76	0.16
-1.37	0.735	0.2025
-1.39	0.74	0.1925
-1.41	0.765	0.2075
-1.33	0.77	0.2375
-1.37	0.77	0.195
-1.32	0.7	0.215
-1.42	0.745	0.2275
-1.43	0.78	0.2025
-1.5	0.795	0.1125
-1.5	0.835	0.21
-1.54	0.855	0.155
-1.31	0.76	0.1925
-1.38	0.775	0.1975
-1.45	0.775	0.2
-1.55	0.83	0.1925
-1.49	0.82	0.155
-1.52	0.81	0.19
-1.46	0.8	0.185
-1.45	0.755	0.1525
-1.39	0.72	0.1875
-1.29	0.69	0.245
-1.25	0.615	0.2725
-1.3	0.66	0.2625
-1.43	0.67	0.235
-1.34	0.67	0.2
-1.37	0.71	0.205
-1.38	0.75	0.18
-1.39	0.77	0.215
-1.45	0.825	0.1475
-1.36	0.805	0.225
-1.38	0.79	0.1925
-1.38	0.775	0.1725
-1.52	0.84	0.1775
-1.42	0.775	0.1425
-1.56	0.825	0.17
-1.44	0.795	0.165
-1.36	0.755	0.17
-1.25	0.66	0.1925
-1.35	0.675	0.2475
-1.3	0.685	0.235
-1.28	0.695	0.245
-1.31	0.685	0.255
-1.17	0.655	0.27
-1.27	0.68	0.2525
-1.26	0.71	0.27
-1.4	0.78	0.18
-1.35	0.75	0.205
-1.46	0.765	0.2125
-1.44	0.8	0.1625
-1.49	0.815	0.1875
-1.52	0.825	0.15
-1.49	0.815	0.195
-1.56	0.82	0.1725
-1.48	0.805	0.1875
-1.4	0.74	0.1875
-1.38	0.74	0.185
-1.31	0.76	0.25
-1.22	0.675	0.2175
-1.22	0.635	0.235
-1.24	0.675	0.265
-1.33	0.64	0.2425
-1.33	0.655	0.2475
-1.37	0.665	0.25
-1.5	0.715	0.21
-1.44	0.705	0.18
-1.42	0.68	0.1975
-1.43	0.71	0.205
-1.44	0.685	0.2375
-1.37	0.635	0.195
-1.27	0.595	0.25
-1.28	0.63	0.2425
-1.22	0.64	0.255
-1.38	0.67	0.265
-1.34	0.705	0.2325
-1.29	0.67	0.2175
-1.41	0.685	0.1925
-1.3	0.69	0.2575
-1.45	0.775	0.2175
-1.46	0.77	0.1625
-1.43	0.79	0.19
-1.58	0.83	0.195
-1.44	0.785	0.2125
-1.35	0.76	0.2425
-1.2	0.725	0.2325
-1.22	0.71	0.2475
-1.31	0.73	0.255
-1.25	0.65	0.28
-1.29	0.59	0.28
-1.26	0.53	0.26
-1.17	0.545	0.2775
-1.16	0.505	0.27
-1.12	0.47	0.3125
-1.13	0.445	0.2975
-1.11	0.425	0.325
-1.09	0.51	0.2575
-1.18	0.525	0.3025
-1.17	0.515	0.275
-1.09	0.505	0.295
-1.2	0.54	0.3125
-1.17	0.44	0.27
-1.13	0.365	0.3225
-1.12	0.275	0.355
-1.01	0.295	0.385
-1	0.29	0.3275
-1.09	0.365	0.3525
-1.07	0.29	0.2775
-1.07	0.35	0.34
-1.14	0.37	0.315
-1.06	0.38	0.285
-1.08	0.355	0.3325
-1.07	0.295	0.33
-1.09	0.33	0.3175
-1.14	0.33	0.31
-1.15	0.37	0.295
-1.18	0.345	0.3325
-1.1	0.31	0.2875
-1.01	0.21	0.345
-1.05	0.275	0.3625
-1.12	0.37	0.3275
-1.12	0.365	0.3325
-0.98	0.28	0.3375
-1.09	0.24	0.35
-1.15	0.225	0.3475
-1.16	0.085	0.3
-1.26	0.22	0.2775
-1.12	0.205	0.2825
-1.01	0.16	0.3175
-1.02	0.08	0.33
-1.02	0.035	0.3475
-0.96	0.11	0.3725
-0.88	0.135	0.3825
-0.88	0.045	0.42
-0.85	0.025	0.4
-0.92	-0.055	0.38
-0.92	-0.065	0.36
-0.94	-0.13	0.3925
-1.12	-0.17	0.36
-1.05	-0.07	0.325
-0.99	-0.115	0.3775
-1.11	-0.13	0.3575
-1.1	-0.075	0.3075
-1.14	-0.01	0.3425
-1.07	-0.01	0.305
-1.17	-0.06	0.29
-1.21	-0.06	0.26
-1.27	-0.195	0.2725
-1.1	-0.205	0.3
-1.29	-0.285	0.285
-1.26	-0.325	0.24
-1.23	-0.295	0.24
-1.18	-0.275	0.215
-1.28	-0.315	0.255
-1.25	-0.285	0.255
-1.09	-0.145	0.295
-1.07	-0.125	0.325
-1.05	-0.09	0.3025
-1	-0.025	0.3325
-1.04	0.04	0.3425
-1.11	-0.015	0.2975
-0.97	-0.045	0.365
-0.99	-0.06	0.3475
-1.05	0.04	0.37
-1	0.125	0.3625
-1.03	0.02	0.3475
-1.04	-0.055	0.3375
-1.1	-0.14	0.3125
-0.99	-0.265	0.3375
-1.01	-0.265	0.36
-1.11	-0.345	0.345
-1.27	-0.435	0.235
-1.36	-0.395	0.28
-1.25	-0.395	0.23
-1.27	-0.475	0.245
-1.29	-0.45	0.2375
-1.26	-0.435	0.2575
-1.06	-0.395	0.26
-1.26	-0.37	0.2725
-1.31	-0.425	0.2575
-1.14	-0.33	0.2925
-1	-0.345	0.2925
-1.07	-0.33	0.3075
-1.21	-0.395	0.3175
-1.12	-0.4	0.2775
-1.05	-0.325	0.3025
-1.07	-0.27	0.3175
-0.96	-0.265	0.2975
-1.05	-0.25	0.3125
-0.96	-0.26	0.305
-1.16	-0.29	0.32
-1.18	-0.245	0.3275
-1.12	-0.33	0.2675
-1.19	-0.325	0.3125
-1.22	-0.405	0.28
-1.09	-0.41	0.2875
-1.16	-0.315	0.2875
-1.03	-0.325	0.28
-1.12	-0.255	0.325
-1.09	-0.16	0.3075
-1.14	-0.26	0.28
-0.95	-0.22	0.31
-1.07	-0.245	0.3575
-1.04	-0.265	0.38
-1.17	-0.33	0.3225
-1.06	-0.27	0.34
-1.1	-0.235	0.3425
-1.04	-0.365	0.325
-1.05	-0.4	0.3225
-1.14	-0.465	0.3925
-1.22	-0.525	0.32
-1.04	-0.39	0.3525
-1.13	-0.36	0.33
-1.13	-0.28	0.29
-1.16	-0.3	0.325
-1.11	-0.215	0.3375
-1.06	-0.21	0.2875
-0.95	-0.22	0.365
-0.92	-0.285	0.3725
-0.98	-0.245	0.345
-0.96	-0.075	0.375
-1.03	-0.03	0.3775
-0.96	-0.065	0.3575
-1.07	-0.19	0.3575
-1.16	-0.235	0.2525
-1.09	-0.21	0.2975
-1.22	-0.25	0.305
-1.29	-0.265	0.2875
-1.4	-0.275	0.205
-1.34	-0.26	0.2225
-1.23	-0.335	0.2225
-1.19	-0.255	0.31
-1.18	-0.235	0.27
-1.16	-0.235	0.27
-1.19	-0.185	0.29
-1.11	-0.165	0.3
-1.04	-0.08	0.3225
-1.09	0.02	0.305
-1.18	0.075	0.3375
-1.19	0.155	0.27
-1.17	0.135	0.295
-1.01	0.155	0.295
-1.04	0.19	0.3325
-1.05	0.18	0.39
-1.09	0.205	0.3275
-1.03	0.125	0.315
-1.08	0.175	0.315
-1.07	0.21	0.3425
-1.12	0.1	0.34
-1.13	0.06	0.305
-1.15	0.01	0.33
-1.12	-0.01	0.28
-1.18	-0.08	0.3
-1.16	-0.015	0.2975
-1.11	-0.03	0.2775
-1.09	-0.03	0.29
-1.02	-0.08	0.32
-1.09	-0.045	0.3025
-1.26	-0.07	0.2675
-1.18	-0.06	0.26
-1.1	0.035	0.2925
-1.06	0.035	0.325
-1.14	0.055	0.325
-1.11	0.125	0.32
-1.02	0.125	0.315
-1.07	0.155	0.375
-1.11	0.175	0.35
-1.11	0.205	0.305
-1.06	0.195	0.3
-1.03	0.245	0.29
-1	0.31	0.3325
-1.16	0.385	0.3275
-1.11	0.47	0.2725
-1.16	0.465	0.2525
-1.15	0.53	0.2725
-1.19	0.515	0.2825
-1.35	0.58	0.2425
-1.25	0.52	0.225
-1.42	0.595	0.2075
-1.27	0.525	0.23
-1.33	0.655	0.255
-1.2	0.62	0.2275
-1.29	0.68	0.285
-1.17	0.63	0.215
-1.23	0.57	0.305
-1.3	0.54	0.31
-1.23	0.545	0.2625
-1.15	0.485	0.295
-1.15	0.455	0.26
-1.17	0.44	0.2525
-1.12	0.35	0.33
-1.12	0.35	0.32
-1.26	0.345	0.2775
-1.27	0.37	0.2825
-1.26	0.37	0.255
-1.22	0.265	0.3175
-1.25	0.36	0.2775
-1.28	0.43	0.235
-1.29	0.49	0.26
-1.32	0.545	0.2325
-1.28	0.555	0.22
-1.17	0.585	0.31
-1.16	0.495	0.31
-1.25	0.375	0.285
-1.26	0.455	0.275
-1.23	0.49	0.3125
-1.21	0.485	0.2875
-1.22	0.57	0.2525
-1.3	0.655	0.2525
-1.32	0.63	0.2525
-1.34	0.64	0.21
-1.32	0.615	0.2175
-1.4	0.64	0.2125
-1.4	0.68	0.225
-1.35	0.625	0.1875
-1.27	0.63	0.2425
-1.39	0.625	0.1925
-1.32	0.645	0.215
-1.51	0.66	0.2425
-1.35	0.57	0.215
-1.37	0.61	0.23
-1.42	0.65	0.21
-1.29	0.57	0.215
-1.28	0.575	0.2575
-1.31	0.53	0.1875
-1.17	0.46	0.265
-1.14	0.4	0.29
-1.2	0.39	0.315
-1.24	0.405	0.2675
-1.21	0.4	0.3075
-1.19	0.425	0.2675
-1.13	0.35	0.2525
-1.12	0.365	0.3375
-1.06	0.4	0.3025
-0.97	0.365	0.3475
-1.21	0.44	0.3575
-1.28	0.46	0.275
-1.36	0.545	0.2375
-1.46	0.615	0.23
-1.34	0.535	0.23
-1.33	0.56	0.2475
-1.11	0.435	0.3025
-1.12	0.41	0.3075
-1.18	0.395	0.2925
-1.27	0.48	0.2575
-1.26	0.44	0.225
-1.18	0.38	0.27
-1.04	0.27	0.285
-0.98	0.13	0.345
-1.08	0.245	0.3425
-1.07	0.275	0.31
-1.07	0.235	0.315
-1.05	0.245	0.32
-1.28	0.35	0.3075
-1.36	0.38	0.26
-1.22	0.44	0.23
-1.13	0.405	0.2975
-1.15	0.375	0.335
-1.26	0.41	0.2425
-1.28	0.42	0.24
-1.2	0.42	0.28
-1.19	0.455	0.3025
-1.2	0.375	0.275
-1.26	0.355	0.28
-1.32	0.305	0.25
-1.26	0.35	0.2775
-1.2	0.245	0.3025
-1.11	0.17	0.2675
-1.26	0.15	0.285
-1.11	0.135	0.2775
-0.94	0.095	0.32
-0.98	0.13	0.3825
-1.18	0.08	0.325
-1.13	0.055	0.3025
-1.16	-0.05	0.2825
-1.11	-0.095	0.3075
-1.14	-0.21	0.2675
-1.2	-0.265	0.2975
-1.18	-0.175	0.275
-1.24	-0.135	0.275
-1.15	-0.055	0.295
-1.15	-0.07	0.3075
-1.11	-0.115	0.2775
-1.19	-0.165	0.35
-1.11	-0.135	0.31
-1.15	-0.165	0.3
-1.03	-0.145	0.34
-1.1	-0.135	0.335
-1.12	-0.085	0.335
-1.13	-0.095	0.295
-1.09	-0.07	0.2825
-1.12	-0.155	0.3475
-1.18	-0.2	0.3075
-1.18	-0.2	0.275
-1.21	-0.26	0.28
-1.22	-0.255	0.2575
-1.13	-0.255	0.255
-0.97	-0.185	0.305
-1	-0.22	0.3275
-1.14	-0.15	0.28
-1.1	-0.105	0.3375
-1.07	-0.175	0.345
-1.08	-0.15	0.3325
-1.1	-0.165	0.2975
-1.05	-0.065	0.285
-1.05	0.03	0.3725
-0.95	-0.01	0.355
-0.99	-0.025	0.3525
-1.06	-0.06	0.3775
-1.07	-0.075	0.3625
-1.1	-0.19	0.3325
-1.09	-0.23	0.32
-1.06	-0.2	0.345
-1.22	-0.2	0.29
-1.13	-0.2	0.32
-1.25	-0.175	0.2425
-1.13	-0.32	0.3125
-1.06	-0.305	0.3125
-1.17	-0.305	0.315
-1.19	-0.29	0.2975
-1.23	-0.295	0.3075
-1.32	-0.26	0.2425
-1.17	-0.23	0.28
-1.21	-0.245	0.2425
-1.18	-0.145	0.3
-1.18	-0.11	0.2925
-1.2	-0.08	0.25
-1.03	-0.04	0.275
-1.27	0	0.345
-1.22	0.085	0.2375
-1.24	0.025	0.235
-1.13	0.035	0.23
-1.08	0.055	0.245
-1.14	0.035	0.265
-1.14	0.03	0.3225
-1.21	0.075	0.3425
-1.05	0.085	0.31
-1.04	0.03	0.3575
-0.93	0.11	0.365
-0.87	0.05	0.375
-0.93	0.105	0.3875
-1.01	0.195	0.34
-1.01	0.25	0.3525
-1.01	0.19	0.395
-1.06	0.165	0.2975
-1.08	0.14	0.3675
-1.04	0.16	0.375
-1.14	0.19	0.36
-1.17	0.175	0.2775
-1.11	0.17	0.2775
-1.15	0.16	0.315
-1.12	0.185	0.3075
-1.02	0.225	0.36
-1.07	0.275	0.34
-1.2	0.245	0.325
-1.06	0.325	0.31
-1.12	0.31	0.3275
-1.14	0.22	0.28
-1.05	0.155	0.3225
-1.03	0.135	0.3
-1.11	0.155	0.32
-1.04	0.215	0.3
-1.1	0.28	0.3275
-1.09	0.275	0.3475
-1.03	0.29	0.3525
-0.94	0.23	0.36
-0.91	0.13	0.345
-0.95	0.085	0.3425
-0.99	0.025	0.355
-0.94	0.08	0.3025
-1.02	0.215	0.3375
-0.96	0.225	0.33
-1.06	0.175	0.325
-1.05	0.18	0.2975
-0.98	0.16	0.325
-0.88	0.245	0.3775
-1	0.22	0.4075
-1.05	0.26	0.38
-0.95	0.345	0.3725
-1.05	0.31	0.2975
-1.09	0.36	0.305
-0.94	0.32	0.33
-1.06	0.37	0.325
-1.11	0.415	0.2625
-1.06	0.355	0.345
-1.09	0.3	0.2725
-1.15	0.305	0.3025
-1.13	0.23	0.3425
-1.15	0.125	0.3375
-1.09	0.085	0.325
-1.06	0.07	0.3575
-1.17	0.07	0.28
-1.18	0.005	0.2875
-1.1	0.035	0.31
-1.12	0.065	0.32
-1.09	0.045	0.315
-1.22	0.02	0.2475
-1.11	0.055	0.3025
-1.23	0.05	0.3225
-1.11	0.08	0.27
-1.23	0.105	0.3175
-1.1	0.17	0.3175
-1.09	0.085	0.2875
-0.96	-0.01	0.3325
-1.05	-0.045	0.3475
-1.09	-0.075	0.285
-1.13	-0.105	0.355
-1.15	-0.16	0.2825
-1.1	-0.17	0.295
-1.03	-0.1	0.3
-1.14	-0.21	0.335
-1.26	-0.225	0.3325
-1.16	-0.22	0.2775
