E_i	M_i	A(t)
-1.29	-0.515	0.275
-1.38	-0.6	0.2225
-1.33	-0.63	0.22
-1.37	-0.64	0.225
-1.34	-0.62	0.195
-1.43	-0.69	0.21
-1.32	-0.655	0.1925
-1.18	-0.545	0.23
-1.29	-0.51	0.2675
-1.21	-0.455	0.2825
-1.22	-0.47	0.2925
-1.16	-0.375	0.2875
-1.15	-0.355	0.3
-1.22	-0.39	0.3125
-1.26	-0.385	0.2475
-1.2	-0.35	0.3025
-1.27	-0.395	0.2675
-1.26	-0.395	0.27
-1.14	-0.305	0.335
-1.06	-0.285	0.285
-1.12	-0.285	0.295
-1.26	-0.325	0.345
-1.15	-0.325	0.25
-1.12	-0.325	0.315
-1.17	-0.255	0.275
-1.14	-0.165	0.33
-1.17	-0.195	0.285
-1.18	-0.21	0.2825
-1.12	-0.195	0.3125
-1.23	-0.165	0.26
-1.15	-0.07	0.3275
-1.02	-0.18	0.325
-1.24	-0.24	0.34
-1.16	-0.265	0.2875
-1.11	-0.245	0.315
-1.08	-0.17	0.3575
-1.16	-0.215	0.2725
-1.21	-0.26	0.3175
-1.28	-0.275	0.2575
-1.34	-0.33	0.2575
-1.39	-0.3	0.275
-1.32	-0.31	0.215
-1.4	-0.34	0.165
-1.3	-0.355	0.2525
-1.3	-0.38	0.3025
-1.33	-0.355	0.3025
-1.36	-0.395	0.25
-1.32	-0.425	0.2
-1.19	-0.33	0.2525
-1.21	-0.345	0.2575
-1.02	-0.265	0.34
-1.13	-0.14	0.3125
-1.18	-0.02	0.305
-1.18	0.045	0.2975
-1.26	0.08	0.2925
-1.37	0.08	0.215
-1.21	0.055	0.2425
-1.16	0.015	0.31
-1.2	-0.045	0.28
-1.15	-0.03	0.2775
-1.31	-0.05	0.25
-1.19	-0.04	0.24
-1.16	-0.175	0.3125
-1.16	-0.23	0.3275
-1.13	-0.285	0.3125
-1.18	-0.32	0.2825
-1.11	-0.29	0.3
-1.15	-0.255	0.2725
-1.17	-0.145	0.3
-1.26	-0.18	0.3125
-1.07	-0.25	0.27
-1.13	-0.235	0.2875
-1.13	-0.27	0.3175
-1.21	-0.375	0.3225
-1.16	-0.395	0.34
-1.03	-0.42	0.2825
-1.14	-0.46	0.325
-1.27	-0.44	0.245
-1.27	-0.445	0.2625
-1.17	-0.5	0.2875
-1.16	-0.505	0.2875
-1.11	-0.47	0.2675
-1.15	-0.535	0.3475
-1.08	-0.455	0.27
-1.16	-0.39	0.3175
-1.05	-0.31	0.34
-1.11	-0.345	0.3175
-1.12	-0.405	0.35
-1.13	-0.375	0.335
-1.19	-0.39	0.2425
-1.16	-0.365	0.2725
-1.22	-0.375	0.34
-1.21	-0.375	0.31
-1.18	-0.415	0.315
-1.1	-0.44	0.3275
-1.19	-0.445	0.2875
-1.1	-0.44	0.2775
-1.14	-0.4	0.31
-1.09	-0.34	0.3
-1.14	-0.41	0.29
-1.13	-0.41	0.31
-1.03	-0.415	0.3475
-1.06	-0.44	0.3075
-1.22	-0.575	0.3125
-1.27	-0.58	0.2825
-1.28	-0.595	0.2525
-1.31	-0.605	0.225
-1.31	-0.62	0.2425
-1.22	-0.585	0.2525
-1.25	-0.5	0.3025
-1.36	-0.59	0.25
-1.28	-0.56	0.25
-1.29	-0.53	0.235
-1.38	-0.48	0.25
-1.31	-0.54	0.225
-1.36	-0.55	0.225
-1.27	-0.485	0.2375
-1.16	-0.445	0.235
-1.28	-0.44	0.3225
-1.43	-0.49	0.255
-1.48	-0.47	0.22
-1.42	-0.46	0.185
-1.31	-0.465	0.2175
-1.31	-0.465	0.26
-1.31	-0.49	0.2425
-1.18	-0.435	0.2575
-1.12	-0.39	0.3125
-1.03	-0.445	0.3275
-1.03	-0.43	0.3425
-1.05	-0.46	0.345
-1.15	-0.49	0.3
-1.14	-0.52	0.3
-1.16	-0.485	0.2875
-1.22	-0.51	0.2625
-1.15	-0.475	0.3475
-1.24	-0.525	0.305
-1.2	-0.495	0.26
-1.17	-0.41	0.3175
-1.26	-0.4	0.265
-1.16	-0.33	0.305
-1.13	-0.365	0.2875
-1.1	-0.385	0.34
-1.29	-0.53	0.3175
-1.28	-0.61	0.235
-1.33	-0.595	0.2275
-1.29	-0.63	0.2575
-1.31	-0.595	0.2725
-1.34	-0.625	0.3
-1.25	-0.535	0.245
-1.39	-0.56	0.2325
-1.34	-0.54	0.21
-1.39	-0.54	0.24
-1.34	-0.54	0.255
-1.4	-0.555	0.2175
-1.29	-0.515	0.285
-1.38	-0.495	0.26
-1.33	-0.475	0.215
-1.29	-0.42	0.2775
-1.26	-0.46	0.25
-1.25	-0.405	0.2425
-1.25	-0.48	0.2675
-1.34	-0.5	0.25
-1.33	-0.53	0.225
-1.32	-0.595	0.2275
-1.34	-0.58	0.2275
-1.2	-0.49	0.24
-1.26	-0.375	0.2475
-1.27	-0.39	0.2975
-1.28	-0.465	0.2825
-1.36	-0.525	0.215
-1.27	-0.49	0.2425
-1.18	-0.42	0.29
-1.1	-0.35	0.295
-1.17	-0.29	0.31
-1.24	-0.345	0.3075
-1.31	-0.49	0.3125
-1.34	-0.48	0.255
-1.39	-0.49	0.25
-1.23	-0.475	0.2225
-1.23	-0.47	0.2475
-1.2	-0.49	0.3
-1.3	-0.56	0.27
-1.34	-0.575	0.2475
-1.33	-0.62	0.2225
-1.28	-0.64	0.23
-1.32	-0.585	0.2325
-1.31	-0.535	0.265
-1.24	-0.535	0.245
-1.12	-0.48	0.2925
-1.21	-0.525	0.2875
-1.19	-0.48	0.2875
-1.31	-0.545	0.2575
-1.35	-0.515	0.245
-1.33	-0.57	0.2025
-1.25	-0.495	0.2525
-1.27	-0.49	0.2575
-1.37	-0.54	0.25
-1.14	-0.49	0.28
-1.27	-0.53	0.29
-1.21	-0.495	0.2275
-1.23	-0.48	0.2875
-1.15	-0.495	0.2975
-1.16	-0.515	0.315
-1.22	-0.53	0.3175
-1.16	-0.545	0.2925
-1.15	-0.46	0.3175
-1.04	-0.425	0.2775
-1.18	-0.43	0.2975
-1.14	-0.365	0.2975
-1.2	-0.375	0.305
-1.27	-0.34	0.2375
-1.22	-0.3	0.305
-1.22	-0.345	0.3125
-1.32	-0.26	0.2425
-1.18	-0.2	0.25
-1.17	-0.205	0.3275
-1.36	-0.35	0.2575
-1.39	-0.33	0.19
-1.45	-0.38	0.21
-1.34	-0.35	0.21
-1.27	-0.3	0.255
-1.27	-0.39	0.22
-1.13	-0.375	0.2775
-1.21	-0.455	0.27
-1.32	-0.46	0.2875
-1.28	-0.455	0.2525
-1.26	-0.45	0.2225
-1.27	-0.43	0.27
-1.21	-0.445	0.2575
-1.26	-0.435	0.235
-1.22	-0.485	0.23
-1.16	-0.5	0.2925
-1.07	-0.515	0.2775
-1.09	-0.53	0.3275
-0.98	-0.495	0.3375
-1.09	-0.525	0.35
-1.22	-0.58	0.2975
-1.24	-0.51	0.255
-1.15	-0.48	0.28
-1.16	-0.53	0.28
-1.22	-0.585	0.3325
-1.2	-0.59	0.2525
-1.24	-0.69	0.235
-1.29	-0.7	0.225
-1.27	-0.7	0.245
-1.39	-0.675	0.2325
-1.36	-0.655	0.205
-1.29	-0.63	0.2325
-1.32	-0.66	0.25
-1.36	-0.7	0.25
-1.36	-0.67	0.22
-1.32	-0.59	0.2
-1.27	-0.58	0.255
-1.23	-0.575	0.2575
-1.23	-0.56	0.3075
-1.24	-0.5	0.285
-1.24	-0.445	0.2625
-1.2	-0.415	0.29
-1.2	-0.43	0.2825
-1.22	-0.46	0.28
-1.22	-0.4	0.31
-1.18	-0.375	0.2375
-1.2	-0.385	0.295
-1.16	-0.41	0.2925
-1.07	-0.385	0.3225
-1.11	-0.275	0.295
-1.07	-0.295	0.36
-1.16	-0.355	0.31
-1.08	-0.37	0.3325
-0.94	-0.395	0.3675
-1.05	-0.44	0.3425
-1	-0.41	0.375
-1.09	-0.435	0.3275
-1.12	-0.47	0.3125
-1.22	-0.49	0.295
-1.18	-0.48	0.28
-1.21	-0.55	0.325
-1.3	-0.54	0.275
-1.18	-0.475	0.3225
-1.17	-0.46	0.2425
-1.09	-0.465	0.3475
-1.12	-0.425	0.395
-1.23	-0.52	0.3025
-1.2	-0.54	0.28
-1.21	-0.53	0.255
-1.19	-0.535	0.2775
-1.27	-0.505	0.25
-1.32	-0.59	0.2725
-1.39	-0.61	0.22
-1.39	-0.62	0.25
-1.29	-0.64	0.265
-1.24	-0.605	0.2525
-1.25	-0.63	0.2825
-1.25	-0.645	0.2475
-1.24	-0.6	0.2925
-1.29	-0.685	0.2575
-1.19	-0.655	0.225
-1.35	-0.695	0.275
-1.42	-0.68	0.1875
-1.42	-0.675	0.2075
-1.41	-0.665	0.24
-1.38	-0.615	0.205
-1.38	-0.57	0.2475
-1.42	-0.56	0.24
-1.43	-0.505	0.2225
-1.24	-0.44	0.2575
-1.13	-0.43	0.325
-1	-0.4	0.3
-1.17	-0.405	0.2825
-1.15	-0.395	0.325
-1.18	-0.345	0.285
-1.16	-0.355	0.315
-1.2	-0.38	0.2775
-1.21	-0.4	0.285
-1.18	-0.34	0.305
-1.23	-0.33	0.265
-1.21	-0.38	0.25
-1.18	-0.275	0.2725
-1.18	-0.33	0.2775
-1.19	-0.315	0.3025
-1.34	-0.27	0.3025
-1.22	-0.24	0.23
-1.13	-0.28	0.3
-1.12	-0.265	0.3225
-1.1	-0.085	0.33
-0.96	-0.1	0.3175
-1.1	-0.17	0.305
-1.04	-0.13	0.335
-1.03	-0.015	0.4275
-1.14	0.035	0.305
-1.21	0.02	0.2725
-1.16	0.025	0.2775
-1.07	-0.005	0.315
-1.17	0.035	0.325
-1.25	0.08	0.2775
-1.31	0.055	0.2725
-1.29	0.065	0.255
-1.26	0.01	0.2225
-1.27	-0.01	0.25
-1.08	0	0.305
-1.09	0.105	0.3325
-1.29	0.11	0.2975
-1.27	0.2	0.24
-1.2	0.24	0.25
-1.23	0.185	0.2575
-1.24	0.2	0.2725
-1.04	0.14	0.315
-1.26	0.145	0.2775
-1.17	0.225	0.265
-1.18	0.305	0.28
-1.1	0.335	0.29
-1.06	0.3	0.2975
-1.08	0.255	0.3475
-1.2	0.345	0.325
-1.27	0.465	0.26
-1.26	0.44	0.2925
-1.26	0.465	0.2525
-1.28	0.44	0.2775
-1.34	0.47	0.28
-1.27	0.465	0.2275
-1.32	0.445	0.25
-1.33	0.435	0.225
-1.37	0.47	0.2625
-1.37	0.485	0.2175
-1.27	0.485	0.245
-1.21	0.49	0.2475
-1.34	0.535	0.2825
-1.25	0.52	0.2425
-1.22	0.565	0.2825
-1.25	0.545	0.285
-1.18	0.405	0.3
-1.06	0.445	0.315
-1.14	0.495	0.37
-1.19	0.515	0.285
-1.13	0.515	0.29
-1.29	0.58	0.2775
-1.33	0.62	0.255
-1.34	0.655	0.2175
-1.26	0.58	0.2325
-1.32	0.635	0.2775
-1.28	0.67	0.2275
-1.21	0.625	0.2725
-1.21	0.635	0.275
-1.33	0.67	0.2875
-1.27	0.65	0.235
-1.26	0.665	0.2275
-1.27	0.665	0.275
-1.41	0.75	0.2525
-1.39	0.71	0.255
-1.3	0.67	0.235
-1.31	0.67	0.25
-1.32	0.715	0.2825
-1.39	0.735	0.245
-1.38	0.715	0.205
-1.34	0.7	0.2125
-1.27	0.57	0.23
-1.28	0.605	0.2675
-1.24	0.645	0.2
-1.28	0.69	0.2375
-1.31	0.74	0.255
-1.4	0.78	0.2
-1.45	0.755	0.1925
-1.49	0.75	0.1725
-1.5	0.77	0.195
-1.43	0.695	0.2275
-1.37	0.68	0.2425
-1.41	0.745	0.2175
-1.45	0.775	0.18
-1.39	0.735	0.22
-1.44	0.74	0.2225
-1.29	0.67	0.25
-1.31	0.64	0.31
-1.3	0.605	0.2475
-1.14	0.575	0.29
-1.24	0.61	0.3075
-1.23	0.585	0.2475
-1.2	0.63	0.2725
-1.36	0.69	0.19
-1.24	0.665	0.2025
-1.38	0.655	0.225
-1.35	0.71	0.2275
-1.38	0.735	0.2075
-1.36	0.72	0.2275
-1.34	0.69	0.22
-1.3	0.695	0.2275
-1.14	0.6	0.2425
-1.26	0.635	0.2875
-1.31	0.655	0.26
-1.32	0.725	0.245
-1.12	0.685	0.295
-1.22	0.64	0.2475
-1.19	0.625	0.2775
-1.17	0.7	0.2675
-1.34	0.74	0.235
-1.53	0.82	0.18
-1.45	0.805	0.1975
-1.36	0.78	0.2525
-1.5	0.765	0.1875
-1.35	0.72	0.1775
-1.34	0.7	0.235
-1.38	0.66	0.26
-1.34	0.595	0.1875
-1.26	0.62	0.2175
-1.26	0.59	0.205
-1.21	0.62	0.275
-1.38	0.655	0.2475
-1.31	0.67	0.2375
-1.33	0.655	0.2375
-1.36	0.66	0.2375
-1.39	0.71	0.255
-1.54	0.815	0.1675
-1.63	0.805	0.17
-1.59	0.8	0.1125
-1.44	0.75	0.165
-1.39	0.715	0.1825
-1.4	0.725	0.195
-1.46	0.77	0.2125
-1.46	0.795	0.1775
-1.42	0.78	0.1925
-1.41	0.79	0.2
-1.42	0.76	0.21
-1.37	0.76	0.195
-1.26	0.705	0.2775
-1.19	0.66	0.2425
-1	0.59	0.285
-1.35	0.705	0.3075
-1.14	0.595	0.24
-1.2	0.565	0.25
-1.24	0.58	0.2475
-1.24	0.6	0.29
-1.25	0.56	0.23
-1.13	0.555	0.2575
-1.32	0.63	0.2375
-1.27	0.6	0.29
-1.36	0.665	0.2725
-1.42	0.61	0.2375
-1.3	0.515	0.2575
-1.31	0.59	0.2525
-1.27	0.58	0.24
-1.34	0.605	0.2425
-1.5	0.675	0.22
-1.39	0.635	0.215
-1.44	0.68	0.1825
-1.4	0.61	0.19
-1.32	0.645	0.1975
-1.42	0.65	0.2325
-1.27	0.565	0.2525
-1.31	0.59	0.2775
-1.29	0.575	0.1875
-1.41	0.615	0.24
-1.26	0.525	0.23
-1.21	0.56	0.1975
-1.35	0.515	0.2825
-1.24	0.48	0.2825
-1.24	0.545	0.2575
-1.31	0.5	0.2225
-1.18	0.44	0.265
-1.33	0.485	0.2525
-1.23	0.475	0.24
-1.14	0.405	0.295
-1.25	0.445	0.285
-1.16	0.38	0.3075
-1.13	0.41	0.28
-1.07	0.44	0.315
-1.07	0.475	0.3425
-1.05	0.53	0.3475
-1.11	0.56	0.3
-1.29	0.63	0.35
-1.11	0.535	0.2775
-1.13	0.565	0.295
-1.21	0.5	0.3025
-1.13	0.37	0.285
-0.97	0.405	0.3325
-1.02	0.395	0.375
-1.05	0.455	0.4
-1.07	0.45	0.2875
-1.13	0.47	0.295
-1.07	0.375	0.3175
-1.14	0.395	0.325
-1.16	0.395	0.31
-1.38	0.48	0.3025
-1.33	0.48	0.285
-1.26	0.445	0.2525
-1.23	0.4	0.2625
-1.18	0.38	0.325
-1.17	0.285	0.2575
-1.21	0.33	0.3125
-1.21	0.33	0.26
-1.25	0.315	0.2525
-1.21	0.28	0.2725
-1.21	0.31	0.295
-1.2	0.31	0.28
-1.15	0.36	0.27
-1.26	0.39	0.285
-1.32	0.43	0.24
-1.2	0.41	0.26
-1.16	0.44	0.26
-1.09	0.39	0.32
-1.25	0.46	0.295
-1.34	0.465	0.2775
-1.28	0.435	0.245
-1.23	0.395	0.255
-1.17	0.355	0.275
-1.24	0.325	0.29
-1.28	0.295	0.28
-1.14	0.25	0.2975
-1.12	0.295	0.3025
-1.09	0.33	0.3425
-1.05	0.32	0.345
-1.16	0.27	0.335
-1.11	0.255	0.2825
-1.04	0.17	0.3125
-0.99	0.17	0.365
-1.01	0.19	0.38
-1.04	0.36	0.325
-1.12	0.235	0.3225
-0.98	0.245	0.325
-1.13	0.245	0.31
-1.07	0.245	0.35
-1.02	0.225	0.34
-1.1	0.265	0.27
-1.26	0.23	0.3075
-1.09	0.155	0.3025
-1.25	0.18	0.2925
-1.26	0.145	0.2425
-1.25	0.115	0.325
-1.29	0.1	0.2125
-1.27	0.145	0.2475
-1.21	0.12	0.2275
-1.31	0.17	0.23
-1.32	0.145	0.2575
-1.31	0.135	0.235
-1.19	0.1	0.2925
-1.21	-0.005	0.3425
-1.23	0	0.2575
-1.23	0	0.275
-1.24	0.005	0.2775
-1.13	0.015	0.3
-1.1	-0.065	0.33
-1	-0.01	0.3825
-1.14	0	0.315
-1.12	-0.135	0.3325
-1.03	-0.1	0.3425
-1.04	-0.01	0.38
-1.06	-0.005	0.3175
-1.02	-0.065	0.31
-1.2	-0.025	0.32
-1.16	-0.07	0.3175
-1.18	-0.06	0.275
-1.17	-0.03	0.325
-1.22	-0.07	0.27
-1.09	-0.095	0.3175
-1.21	-0.105	0.29
-1.21	-0.09	0.2825
-1.14	-0.08	0.26
-1.15	-0.005	0.2975
-1.18	-0.04	0.3125
-1.16	0.04	0.31
-1.25	0.065	0.3025
-1.24	0.13	0.2525
-1.18	0.075	0.2875
-1.15	0.125	0.35
-1.3	-0.025	0.245
-1.22	0.04	0.2925
-1.16	0.035	0.3075
-1.3	0.04	0.2825
-1.09	0.06	0.325
-1.03	0.12	0.285
-1.23	0.185	0.3225
-1.28	0.195	0.265
-1.31	0.18	0.2775
-1.18	0.23	0.29
-1.17	0.125	0.2825
-1.23	0.11	0.2775
